PID	Status	Label
-	0	com.apple.securemessagingagent
88602	-9	com.apple.SecureBackupDaemon
-	0	com.apple.security.agent
8223	-9	com.apple.backgroundtaskmanagement.agent
-	0	com.apple.intelligenceflowd
2622	-9	com.apple.businessservicesd
-	0	com.apple.cfnetwork.AuthBrokerAgent
2648	-9	com.apple.feedbackd
4137	0	application.com.HyperartFlow.Barbee.569011094.569011100
-	0	org.pqrs.service.agent.Karabiner-Core-Service
-	0	com.microsoft.OneDriveLauncher
-	0	com.apple.storedownloadd
-	0	com.apple.SpacesTouchBarAgent.app
848	0	com.apple.BTServer.cloudpairing
21172	0	application.com.openai.chat.575789074.575789079
-	0	us.zoom.updater.login.check
-	0	com.apple.managedcorespotlightd
736	0	com.apple.coreservices.sharedfilelistd
698	0	com.apple.pboard
4659	0	application.org.p0deje.Maccy.558710134.558724532
759	0	application.com.chabomakers.Antinote-setapp.278897603.408169472
-	0	com.apple.nowplayingtouchui
-	-9	com.apple.MobileAccessoryUpdater.fudHelperAgent
-	-9	com.apple.reversetemplated
784	0	application.com.busymac.busycontacts-setapp.577860274.577860280
923	0	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
729	0	com.apple.rapportd
15257	-9	com.apple.SoftwareUpdateNotificationManager
-	0	com.apple.DistributionKit.DistributionHelper
-	0	com.apple.accounts.dom
949	0	com.apple.TextInputUI.xpc.CursorUIViewService
-	0	com.apple.metadata.mdflagwriter
-	0	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
-	0	com.apple.installandsetup.migrationhelper.user
705	0	com.apple.containermanagerd
19991	-9	com.apple.imdpersistence.IMDPersistenceAgent
-	0	com.apple.TrustEvaluationAgent
-	0	com.apple.Notes.datastore
-	-9	com.apple.mlhostd
-	0	com.apple.preference.displays.MirrorDisplays
-	0	com.apple.IOUIAgent
4084	0	application.com.microsoft.OneDrive-mac.571551463.571554552
691	0	com.apple.neagent.878568F8-CCE5-4157-8315-22F20DC8FB0A
-	0	com.apple.previewshellapp
-	0	com.apple.managedappdistributionagent
707	0	com.apple.accountsd
6308	-9	com.apple.cdpd
732	0	com.apple.routined
63006	0	application.com.3bitlab.PiPad.454548772.454548778
6229	0	application.com.stclairsoft.AppTamer.SpotlightAggregator.527321607.527321747
6433	-9	com.apple.siriactionsd
-	0	com.apple.KeyboardAccessAgent
-	0	com.apple.ecosystemagent
700	0	com.apple.BiomeAgent
76419	0	application.com.1password.1password.568447085.573713990
-	0	com.apple.storelegacy
-	0	com.apple.OSDUIHelper
7952	-9	com.apple.audio.AudioComponentRegistrar
22347	0	com.jacobzweig.trilla.ShipIt
969	0	com.apple.AssetCacheLocatorService
-	0	com.apple.DiagnosticsReporter
-	0	com.apple.lockoutagent
4528	0	application.app.cotypist.Cotypist.555282819.555282824
-	0	com.apple.videosubscriptionsd
6571	-9	com.apple.pbs
-	0	com.apple.calendar.CalendarAgentBookmarkMigrationService
824	0	com.apple.notificationcenterui.agent
39504	-9	com.apple.protectedcloudstorage.protectedcloudkeysyncing
911	0	com.apple.imklaunchagent
802	0	com.apple.FileProvider
-	-9	com.apple.imcore.imtransferagent
6462	-9	com.apple.mobiletimerd
-	0	com.apple.btsa
19666	0	application.com.jacobzweig.trilla.575013118.575013255
4535	0	application.jp.fuji.1Piece.321017389.408169919
4088	0	application.io.tailscale.ipn.macsys.576678860.576678866
3994	0	application.com.NeatDownloadManager.438453884.438453890
3945	0	org.pqrs.service.agent.Karabiner-NotificationWindow
17306	-9	org.pqrs.service.agent.karabiner_console_user_server
1057	0	com.apple.icdd
-	0	com.apple.ckdiscretionaryd
97952	0	application.com.apple.shortcuts.events.1152921500312098734.1152921500312098739
